title,location,job_type,employer,category
Production Manager,Rest of Kenya,Full Time,The African Talent Company (TATC),Farming
Marketing & Business Development Manager,Mombasa,Full Time,KUSCCO Limited (Kenya Union of Savings & Credit Co-operatives Limited),Marketing & Communications
Loans Manager,Mombasa,Full Time,KUSCCO Limited (Kenya Union of Savings & Credit Co-operatives Limited),Accounting & Auditing
Internal Auditor,Mombasa,Full Time,KUSCCO Limited (Kenya Union of Savings & Credit Co-operatives Limited),Accounting & Auditing
Accounts Clerk,Rest of Kenya,Full Time,Machakos Institute Of Technology,Accounting & Auditing
Marketing Officers,Rest of Kenya,Full Time,Machakos Institute Of Technology,Marketing & Communications
Lecturer - Nutrition & Dietetics,Rest of Kenya,Full Time,Machakos Institute Of Technology,Teaching & Training
Lecturer - Business Management,Rest of Kenya,Full Time,Machakos Institute Of Technology,Teaching & Training
Lecturer - Secretarial Studies,Rest of Kenya,Full Time,Machakos Institute Of Technology,Teaching & Training
Lecturer - Community Health,Rest of Kenya,Full Time,Machakos Institute Of Technology,Teaching & Training
Lecturer - Electrical & Electronics Engineering,Rest of Kenya,Full Time,Machakos Institute Of Technology,Teaching & Training
Lecturer - Community Development/ Social Work,Rest of Kenya,Full Time,Machakos Institute Of Technology,Teaching & Training
French Teacher,Nairobi,Full Time,Infill Academy,Teaching & Training
Ire Teacher,Nairobi,Full Time,Infill Academy,Teaching & Training
Computer Teacher ,Nairobi,Full Time,Infill Academy,Teaching & Training
P.e Teacher,Nairobi,Full Time,Huda Integrated School,Teaching & Training
Kiswahili Teacher,Nairobi,Full Time,Huda Integrated School,Teaching & Training
English Teacher,Nairobi,Full Time,Huda Integrated School,Teaching & Training
Science Teacher ,Nairobi,Full Time,Huda Integrated School,Teaching & Training
Kenya Assistant National Technical Manager,Nairobi,Full Time,Famine Early Warning Systems Network,Project Management
Operations Manager,Nairobi,Full Time,Mwananchi Credit Ltd,Administrative
 Forklift Driver & Operator,Nairobi,Full Time,Kaylift Services Limited,Engineering
Sales And Marketing Executive,Nairobi,Full Time,Mustard Projectors & Communications Ltd,Sales & Business Development
Sales And Marketing,Nairobi,Full Time,Mustard Projectors & Communications Ltd,Sales & Business Development
Audio Visual Technicians/installers,Nairobi,Full Time,Mustard Projectors & Communications Ltd,Engineering
Administrator,Nairobi,Full Time,Gathani Ltd,Administrative
Corporate Sales Executive​,Nairobi,Full Time,Gilfield Services Ltd,Sales & Business Development
Territory Sales Executive - (35 Posts),Nairobi,Full Time,Corporate Staffing Services Ltd,Sales & Business Development
Ngo Hr Assistant,Nairobi,Full Time,Corporate Staffing Services Ltd,Recruitment
Data / Qi Coordinator,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Quality Control & Assurance
Programmer / Data Manager,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,IT & Telecoms
Research Assistants,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Project Management
Senior Research Assistant,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Project Management
Study Coordinator,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Project Management
Senior Statistician,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Project Management
"Hotel Sales Executive, Service Staff",Nairobi,Full Time,Galaxy Capital Ltd,Sales & Business Development
Field Sales Agronomist,Nairobi,Full Time,​City Farming Ltd​,Sales & Business Development
Customer Care,Nairobi,Full Time,​City Farming Ltd​,Customer Service & Support
Teacher Of Pe (Up To A-Level),Nakuru,Full Time,"Greensteds International School, Nakuru",Teaching & Training
Clinical Officer,Rest of Kenya,Full Time,Nyumbani - Children of God Relief Institute (COGRI),Medicine & Pharmaceutical
Consultants - Editors,Nairobi,Full Time,Alliance for a Green Revolution in Africa (AGRA),Consulting & Strategy
Panel Beater & Spray Painter,Rest of Kenya,Full Time,CARE Kenya (CARE International),Engineering
Field Officer - Ref: Fo/01/2018 Nyandarua County (1 Position),Rest of Kenya,Full Time,CARE Kenya (CARE International),Project Management
Project Officer - Ref: Po/01/2018 Nyandarua County (1 Position),Rest of Kenya,Full Time,CARE Kenya (CARE International),Project Management
Regional Sales Manager-(Western),Kisumu,Full Time,Anonymous,Sales & Business Development
Investigations Officer Ii – Data Analyst,Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),IT & Telecoms
Accounts Assistant I,Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),Accounting & Auditing
Accountant Ii,Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),Accounting & Auditing
Office Assistant Iii (Artisan),Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),Trades & Services
Records Management Assistant Ii,Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),Administrative
Human Resource Officer Ii,Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),Recruitment
Housing Project Manager (For An Established Sacco & Housing Society),Nairobi,Full Time,Skills Geographic,Management
Legal Officer Ii,Nairobi,Full Time,Ethics & Anti-Corruption Commission (EACC),Legal
Laboratory Technologist,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Medicine & Pharmaceutical
Study Nurse,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Medicine & Pharmaceutical
 Research Medical Officer,Kisumu,Full Time,KEMRI – RCTP/ FACES (Family AIDS Care and Education Services) Program,Medicine & Pharmaceutical
Operations Officer - Tenders And Bidding,Nairobi,Full Time,International Supply Chain Solutions Ltd (ISCS),Supply Chain & Procurement
Livestock Production Project Officer,Rest of Kenya,Full Time,INADES Formation International,Project Management
Lab Analyst,Nakuru,Full Time,Brites Management Services Limited,Quality Control & Assurance
Administration Assistant,Nairobi,Full Time,Brites Management Services Limited,Administrative
Horeca Sales Manager,Nairobi,Full Time,Brites Management Services Limited,Sales & Business Development
Sales​ ​representatives,Nairobi,Full Time,ICEA LIONS,Sales & Business Development
Executive Administrative Assistant,Rest of Kenya,Full Time,Nova Pioneer,Administrative
Graduate Trainee – Internal Audit,Nairobi,Full Time,Riara Group of Schools,Accounting & Auditing
Avionics Engineer,Nairobi,Full Time,DAC Aviation (EA) Limited,Engineering
Technical Support Services Manager (Tssm),Nairobi,Full Time,DAC Aviation (EA) Limited,Engineering
Safety Assistant,Nairobi,Full Time,DAC Aviation (EA) Limited,Quality Control & Assurance
